,Unnamed: 0,id,thread_number,timestamp,text,retweets,likes,replies,url,full_text
0,0,999307110902050818,Thread 1,1527088356,"Extraordinary evidence at Treasury committee from Jon Thompson, CEO of HMRC on customs and Brexit today https://t.co/DJhIQhmVwJ",66,59,5,https://t.co/DJhIQhmVwJ,"Extraordinary evidence at Treasury committee from Jon Thompson, CEO of HMRC on customs and Brexit today"
1,1,999307395712143360,Thread 1,1527088424,"The Brexiter favourite Max Fac - would cost business between ÃÂ£17 and ÃÂ£20bn a year

- that's almost 1% of GDP

- jusÃ¢?Â¦ https://t.co/0MwIcwre4t",83,107,10,https://t.co/0MwIcwre4t,"The Brexiter favourite Max Fac - would cost business between £17 and £20bn a year
- that's almost 1% of GDP
- just for filling in forms
Thanks #Brexit"
2,2,999307826265812992,Thread 1,1527088526,"How does he arrive at the figure

200m export consignments at an average cost of ÃÂ£32.50 each = ÃÂ£6.5bn (times two beÃ¢?Â¦ https://t.co/KxnkU2QiVO",6,11,2,https://t.co/KxnkU2QiVO,"How does he arrive at the figure
200m export consignments at an average cost of £32.50 each = £6.5bn (times two because two way traffic)
plus around £4 to £7bn of rules of origin compliance from filling in other forms"
3,3,999308153346052102,Thread 1,1527088604,Theresa May's New Customs Partnership is much cheaper for business (almost zero cost)  because it seeks to replicatÃ¢?Â¦ https://t.co/0LcsJHah0H,7,10,1,https://t.co/0LcsJHah0H,"Theresa May's New Customs Partnership is much cheaper for business (almost zero cost) because it seeks to replicate today's arrangements but is thought to be ""cretinous"" by brexiters and ""magical thinking"" by the EU27...
...and"
4,4,999308653894230022,Thread 1,1527088724,"Mr Thompson said he did not expect the EU to reciprocate over the customs partnership. 

What that means is UK collÃ¢?Â¦ https://t.co/9c3uhhnZGX",17,12,2,https://t.co/9c3uhhnZGX,"Mr Thompson said he did not expect the EU to reciprocate over the customs partnership.
What that means is UK collects tariffs for EU and hands it over when a ship lands in Felixtowe and drives to Calais, but if ship first lands in Rotterdam, EU keeps the import tariffs."
5,5,999309088747147265,Thread 1,1527088827,"Both would not be ready by 2021. Max Fac needs 3 years. Customs Partnership requires 5, Mr Thompson said.

The bordÃ¢?Â¦ https://t.co/luLzgUsiR4",13,18,2,https://t.co/luLzgUsiR4,"Both would not be ready by 2021. Max Fac needs 3 years. Customs Partnership requires 5, Mr Thompson said.
The border would be ""functioning"", but if technology not ready ministers would need to trade off their objectives of ""free flow, revenue and security"".
Leaky borders"
6,6,999309525785116672,Thread 1,1527088931,"""We think we can manage the risk - we think we can"" he said. He didn't sound so sure. 

And ""the potential backdoorÃ¢?Â¦ https://t.co/Ti1nbbjfpU",10,15,5,https://t.co/Ti1nbbjfpU,"""We think we can manage the risk - we think we can"" he said. He didn't sound so sure.
And ""the potential backdoor risk applies to both models"" he added
Didn't sound like officials think either is sensible"
7,7,999345299087872000,Thread 2,1527097460,".@EPAScottPruitt is under so many federal investigations and reviews, itÃ¢??s getting hard to keep track. Right now, hÃ¢?Â¦ https://t.co/HjfLJz6zKm",69,62,5,https://t.co/HjfLJz6zKm,".
@EPAScottPruitt
is under so many federal investigations and reviews, it’s getting hard to keep track. Right now, he’s at 16. Here’s an (updated) list of the embattled
@EPA
administrator’s ethical woes.
#BootPruitt
Thread >>
medium.com/@CAPAction/a-g…"
8,8,999345478272782338,Thread 2,1527097503,"@EPAScottPruitt @EPA Investigations 1 through 10: All of these are under the @EPAoig, looking into actions likeÃ¢?Â¦ https://t.co/Nh4I7pc5eY",4,4,1,https://t.co/Nh4I7pc5eY,"Investigations 1 through 10: All of these are under the
@EPAoig
, looking into actions like
@EPAScottPruitt
's lavish travel, shady ties with lobbyists, pricey office improvements and security, and condo deal, among other things in Pruitt's
#CultureOfCorruption
. 💸"
9,9,999345594287214592,Thread 2,1527097531,@EPAScottPruitt @EPA @EPAoig #11: @EPAoig is also Ã¢??reviewingÃ¢?? whether @EPAScottPruittÃ¢??s pal Samantha Dravis was colÃ¢?Â¦ https://t.co/Mqk7TZPwd1,4,5,1,https://t.co/Mqk7TZPwd1,"#11:
@EPAoig
is also “reviewing” whether
@EPAScottPruitt
’s pal Samantha Dravis was collecting an
@EPA
salary for months while forgetting to do one important thing – come to work.
#BootPruitt
washingtonpost.com/news/energy-en…"
10,10,999345920302034947,Thread 2,1527097609,@EPAScottPruitt @EPA @EPAoig #12: It's not just the @EPAoig who's interested in Pruitt Ã¢?? the @HouseOversight commitÃ¢?Â¦ https://t.co/Id0RMRolhh,2,1,1,https://t.co/Id0RMRolhh,"#12: It's not just the
@EPAoig
who's interested in Pruitt — the
@HouseOversight
committee is jumping into its role as one of the nation's top investigators with a review of
@EPAScottPruitt
's first class ✈️ & ethical Qs around his stay in a lobbyist-owned condo.
#BootPruitt"
11,11,999346038233235456,Thread 2,1527097637,@EPAScottPruitt @EPA @EPAoig @HouseOversight Investigations 13 &amp; 14: @EPAScottPruitt is in trouble with theÃ¢?Â¦ https://t.co/9LySK3r4mc,3,4,1,https://t.co/9LySK3r4mc,"Investigations 13 & 14:
@EPAScottPruitt
is in trouble with the
@WhiteHouse
, too.
A WH internal investigation into his actions generally post-condo and a
@MickMulvaneyOMB
investigation into the $43,000 phone-booth add to Pruitt's list of troubles.
#BootPruitt
📞"
