,Unnamed: 0,id,thread_number,timestamp,text,retweets,likes,replies,url,full_text
0,0,972205190593089538,Thread 1,1520626754,"CorbynÃ¢??s speech to Scottish Labour conference, Dundee Ã¢?? confusion and contradictions on Brexit or why is Labour notÃ¢?Â¦ https://t.co/07rC6e4jEt",711,837,62,https://t.co/07rC6e4jEt,"Corbyn’s speech to Scottish Labour conference, Dundee – confusion and contradictions on Brexit or why is Labour not opposing Brexit? a thread
1."
1,1,972205328485048320,Thread 1,1520626787,"Corbyn Ã¢??Make no mistake about it, reduced access to European markets means fewer economic opportunities for peopleÃ¢?Â¦ https://t.co/9zd5ObPrNV",94,289,3,https://t.co/9zd5ObPrNV,"Corbyn “Make no mistake about it, reduced access to European markets means fewer economic opportunities for people in the UK.”
Absolutely correct, but Corbyn’s own conditions & criteria mean reduced access – there is no ‘job’s first’ Brexit 2."
2,2,972205463105392645,Thread 1,1520626819,Corbyn: Ã¢??we will not accept an off the peg model for our future relationship with the European UnionÃ¢?? Ã¢?? Sounds likeÃ¢?Â¦ https://t.co/qgfDXmP4w3,65,217,3,https://t.co/qgfDXmP4w3,"Corbyn: “we will not accept an off the peg model for our future relationship with the European Union” – Sounds like May saying not Norway, not Canada – but EU is offering Norway or Turkey or Canada. 3."
3,3,972205538644758528,Thread 1,1520626837,Corbyn: Ã¢??the option of a new UK customs union with the EU would need to ensure the UK has a say in future trade deaÃ¢?Â¦ https://t.co/aXg8ePMOqB,109,323,10,https://t.co/aXg8ePMOqB,Corbyn: “the option of a new UK customs union with the EU would need to ensure the UK has a say in future trade deals.” The UK has a vote & veto on EU trade deals as an EU member state: the UK will not have a vote outside the EU – surely Corbyn knows this. 4.
4,4,972205714113466370,Thread 1,1520626879,Corbyn wants a say on single mkt rules Ã¢??we cd not accept a situation where we were subject to all EU rules..yet hadÃ¢?Â¦ https://t.co/Y6TbmKn1ob,86,258,5,https://t.co/Y6TbmKn1ob,"Corbyn wants a say on single mkt rules ‘we cd not accept a situation where we were subject to all EU rules..yet had no say in making those laws. That wd leave us as mere rule-takers & isn’t a tenable position.’ But outside EU, UK has no vote, outside EEA no say: he rejects both 5"
5,5,972205812692156417,Thread 1,1520626903,"In this magical world outside EU/EEA, according to Corbyn, the UK not only gets a say/is not a rule-taker, but getsÃ¢?Â¦ https://t.co/gkEJcumPFy",82,201,8,https://t.co/gkEJcumPFy,"In this magical world outside EU/EEA, according to Corbyn, the UK not only gets a say/is not a rule-taker, but gets opt-outs too “..we would want to negotiate protections or exemptions where necessary from current rules and directives..” 6."
6,6,972206079051476992,Thread 1,1520626966,"Corbyn wants: Ã¢??a deal that gives us full tariff-free access to the single marketÃ¢?? But itÃ¢??s EU regulations, laws, thÃ¢?Â¦ https://t.co/x7uvUtD6Wg",66,204,2,https://t.co/x7uvUtD6Wg,"Corbyn wants: “a deal that gives us full tariff-free access to the single market” But it’s EU regulations, laws, the 4 freedoms that gives full access to the single mkt & remove non-tariff barriers. Tariff-free trade wd still mean less acess, lower trade, lower growth 7."
7,7,972206233682923521,Thread 1,1520627003,Corbyn wants to prevent Ã¢??employers being able to import cheap agency labour to undercut existing pay and conditionsÃ¢?Â¦ https://t.co/1J3TG0PGZ5,132,311,15,https://t.co/1J3TG0PGZ5,Corbyn wants to prevent “employers being able to import cheap agency labour to undercut existing pay and conditions..” but expert evidence is that free movement has not undermined wages; & no full single mkt access without free movement 8.
8,8,972206359944093696,Thread 1,1520627033,Corbyn: Ã¢??retaining the benefits of the customs union and the single market is vital to future Labour governments inÃ¢?Â¦ https://t.co/bJCtsVBrsi,89,266,5,https://t.co/bJCtsVBrsi,Corbyn: “retaining the benefits of the customs union and the single market is vital to future Labour governments in both Holyrood and Westminster”. This is full cake & eat it mode given the above. 9.
9,9,972206680216915968,Thread 1,1520627109,"Corbyn also suggests in a customs union outside single mkt, he can solve N Ireland border by ensuring Ã¢??that there aÃ¢?Â¦ https://t.co/nTXo6iLbEV",89,229,8,https://t.co/nTXo6iLbEV,"Corbyn also suggests in a customs union outside single mkt, he can solve N Ireland border by ensuring “that there are no tariffs with Europe and avoid any need for a hard border in Northern Ireland.” But cherry-picking the single mkt means a hard border can’t be avoided10."
10,10,972206821099343872,Thread 1,1520627143,"Why will Corbyn not oppose the huge political, economic, social, &amp; security damage from Brexit &amp; demand 2nd EU refeÃ¢?Â¦ https://t.co/I2S9awImZo",229,474,23,https://t.co/I2S9awImZo,"Why will Corbyn not oppose the huge political, economic, social, & security damage from Brexit & demand 2nd EU referendum? “As democratic socialists we respect the result of the referendum” – this in Scotland where 62% voted remain, in a UK where 52% now support remain. 11."
11,11,972206966218031104,Thread 1,1520627178,"In summary, Corbyn wants UK to be outside EU but have a say in its trade policy, outside EUÃ¢??s single mkt but have aÃ¢?Â¦ https://t.co/lip1Lp1Eld",490,805,97,https://t.co/lip1Lp1Eld,"In summary, Corbyn wants UK to be outside EU but have a say in its trade policy, outside EU’s single mkt but have a say in its rules, full access & a range of opt-outs; he wants all benefits, new exemptions, no rethinking of Brexit. This isn’t jobs-first nor internationalist. 12."
25,25,972724814031892480,Thread 3,1520750642,"The set up: a barrier with a higher energy than an electron. Think a tall wall, and a ball that didn't get thrown hÃ¢?Â¦ https://t.co/7cnQHdSAvJ",5,60,38,https://t.co/7cnQHdSAvJ,"Thought you all might like to know, say, the probability of a human passing through a wall. Yes? Yes, because
#QuantumMechanics
is fun! Let's begin!"
26,26,972724812102512640,Thread 3,1520750642,"Thought you all might like to know, say, the probability of a human passing through a wall. Yes? Yes, becauseÃ¢?Â¦ https://t.co/kqkN5Gi7Iz",152,510,1,https://t.co/kqkN5Gi7Iz,"The set up: a barrier with a higher energy than an electron. Think a tall wall, and a ball that didn't get thrown high enough to go over. Classically, the electron scatters back, like the ball bounces back. But in quantum, that electron has a probability of passing through!"
27,27,972724827332083712,Thread 3,1520750645,"With the above case for the electron, we can find something called the transmission coefficient, which is literallyÃ¢?Â¦ https://t.co/OBZY6H9jnr",5,61,4,https://t.co/OBZY6H9jnr,"With the above case for the electron, we can find something called the transmission coefficient, which is literally the probability of a particle to pass through a barrier. It looks like this: (Sakurai P. 526)"
28,28,972724830339387394,Thread 3,1520750646,"So, using the tiny mass of an electron and a really tiny barrier, we get substantial probabilities that the electroÃ¢?Â¦ https://t.co/BnnxIai6kY",3,52,3,https://t.co/BnnxIai6kY,"What those things stand for:
V: energy of potential barrier
E: energy of particle
a: width of barrier
m: mass of particle
ћ (or h_bar): Planck constant divided by 2π (just a constant we need in quantum).
Sinh is the hyperbolic sine function that absorbs the imaginary part of sin"
29,29,972724831727763457,Thread 3,1520750646,"Let's see how this works for a human. In this case we'll use the equation that has the k and ÃÂº in it, where these aÃ¢?Â¦ https://t.co/kun9n13kwD",3,46,1,https://t.co/kun9n13kwD,"So, using the tiny mass of an electron and a really tiny barrier, we get substantial probabilities that the electron will tunnel through the barrier. Things that decrease the probabilities significantly: using more massive particles, and thicker barriers."
30,30,972724829051744256,Thread 3,1520750646,"What those things stand for:
V: energy of potential barrier
E: energy of particle
a: width of barrier
m: mass of paÃ¢?Â¦ https://t.co/y2WxA2g5cG",4,57,1,https://t.co/y2WxA2g5cG,"Let's see how this works for a human. In this case we'll use the equation that has the k and κ in it, where these are just wavenumbers, which measure properties of a wave. We'll focus on the sinh part of equation, where κ = p/h_bar, where p is the momentum = mass times velocity."
31,31,972724832923090944,Thread 3,1520750647,"Let's have a person with a mass of, say, 70 kg, run towards a wall that's about 10 cm, or 0.1 m thick, with a speedÃ¢?Â¦ https://t.co/DoSx3izvbJ",3,45,3,https://t.co/DoSx3izvbJ,"Let's have a person with a mass of, say, 70 kg, run towards a wall that's about 10 cm, or 0.1 m thick, with a speed of 4 m/s. Now, let's look again at that sinh part, and note that sinh^2(κa) is approximately e^2κa, so we'll just use the exponential."
