id,thread_number,timestamp,text,retweets,likes,replies
978656977705414657,Thread 1,1522164980,"20 *more* reasons I voted to leave for #Brexit. 

1. The only people who get to influence the EU are those who supp… https://t.co/TDFt0VdW3V",47,56,8
978656982755434497,Thread 1,1522164981,3. Member states have no right of initiative in international organisations meaning that good ideas die in Brussels… https://t.co/bk8gUl179U,9,18,2
978656980263948290,Thread 1,1522164981,2. It says it wants free and fair trade but the complexity of its own bureaucracy means it can always find ways wit… https://t.co/idWbuUUHe9,10,22,3
978656986228314112,Thread 1,1522164982,5. Virtue signalling as public policy. The EU wants to be seen as a benevolent influence so it subscribes to greenw… https://t.co/xdHGEVAT6o,10,19,1
978656984370204673,Thread 1,1522164982,"4. Its energy directives are directed by groupthink, corporate lobbying and political fads leading to environmental… https://t.co/vWDU20s9jD",9,19,2
978656990544179200,Thread 1,1522164983,"7. The Common Agriculture Policy. An obsolete idea where, like the CFP, reform is glacial and creates massive marke… https://t.co/U8ezP30oRp",11,22,1
978656988308656129,Thread 1,1522164983,"6. The Common Fisheries Policy. Even minor changes to protect species take several years, again blocked by corporat… https://t.co/dFOmtrV5pg",10,21,2
978656995040550913,Thread 1,1522164984,9. The Agency Workers Directive:  Yet another whack-a-mole measure to resolve issues caused by the last round of me… https://t.co/gXqjgNUqM6,8,18,1
978656992389730304,Thread 1,1522164984,8. The very idea of being in a treaty structure where all of our external relations and trade is bound up in one si… https://t.co/8nvTHBUilE,11,25,2
978656996776972288,Thread 1,1522164985,10. The Habitats Directive. Seldom are quota and target driven policies ever a good idea. It results in policy deci… https://t.co/4zMS7pSGAi,7,17,2
978656998408499200,Thread 1,1522164985,11. The way in which it encourages member states to dismantle their own foreign relations in the greater glory of t… https://t.co/gGOeuARRwx,9,21,2
978657001818542085,Thread 1,1522164986,"13. The measure of the common good is nearly always what the financial spreadsheets say, irrespective of what peopl… https://t.co/HcWLq5Laiu",8,17,2
978657000165990402,Thread 1,1522164986,12. The way in which there is no longer any clear line of accountability. We know longer know who is responsible fo… https://t.co/rqxi8lbZ3q,10,21,1
978657003299069953,Thread 1,1522164986,"14. The way in which invisible legislative restraints curb local democracy and stifle policy innovations, often for… https://t.co/8BaEtDb4Pw",8,17,2
978657005555650561,Thread 1,1522164987,15. The fact that even if we could say we had adequate powers of veto we simply cannot trust our own vain and venal… https://t.co/JNszjrbU3O,7,16,1
978657007510130688,Thread 1,1522164987,16. The way it undermines genuine multilateral cooperation by setting up rival bodies with a view to co-opting the… https://t.co/r21IQxNfC3,8,15,2
978657011863900160,Thread 1,1522164988,19. The propensity to invest in political white elephants like A380 and Galileo just because it feels it should hav… https://t.co/F8GhtoMRey,8,21,1
978657008873328640,Thread 1,1522164988,17. The fact that political union is not necessary for trade and economic integration. It uses economic integration… https://t.co/RQAPC9Ao1q,9,27,2
978657010181951489,Thread 1,1522164988,18. The very existence of the EU and its surpranational agenda actually stands in the way of something better. In a… https://t.co/wXyilsZJPp,11,20,2
978657013751255045,Thread 1,1522164989,"20. I just don't like the EU. I don't support its aims, I do not trust its institutions, I don't want a supreme gov… https://t.co/bjmkA3JuHr",16,35,2
978657015668015105,Thread 1,1522164989,I made my mind up to leave long before there was any mention of a referendum - before Vote Leave existed. Like my f… https://t.co/TynyhNYnj9,19,51,6
978659201043124225,Thread 1,1522165510,"So of my two threads today, I could produce another three to make it up a hundred reasons - but they all boil down… https://t.co/sqe8bh6wLJ",13,47,5
978659202511011842,Thread 1,1522165511,You'll note that of the reasons given I make no mention of freedom of movement or immigration. I could poke holes i… https://t.co/W737u1gKoi,10,48,8
978534905041838080,Thread 2,1522135876,"#Brexit Thread: a list of 20 random reasons why I voted to leave the EU

1. The impossibility of meaningful treaty… https://t.co/cxUWZLLM3w",175,246,21
978534906912542720,Thread 2,1522135876,2. The exclusion of the public from decisions relating to further integration. See Treaty of Lisbon.,19,93,5
978534910251151360,Thread 2,1522135877,4. A completely unelected High Representative pushing a foreign policy with zero mandate where there is no common p… https://t.co/svw8MukY5V,22,85,3
