,id,thread_number,timestamp,text,retweets,likes,replies,url
0,998968203681427458,Thread 1,1527007554,"1) WE HAVE A BREAKING FREAKING STORY HERE

FROM THE CONSERVATIVE

UNDERGROUND

NEWS OF

TWITTER https://t.co/SjzJKhFRQ0",335,679,94,https://t.co/SjzJKhFRQ0
1,998968303136727041,Thread 1,1527007578,2) I AM SO EXCITE I MIGHT NOT EVEN SWEAR OR GO BACK TO CORRECT EXCITE TO EXCITED,60,294,13,
2,998968508225589249,Thread 1,1527007626,"3) CNN, AP, and MSNBC....",120,291,5,
3,998968614509273088,Thread 1,1527007652,4) HAVE JUST BEEN RAIDED BY THE FCC https://t.co/cIm0Utm6Tg,174,465,39,https://t.co/cIm0Utm6Tg
4,998969018781523975,Thread 1,1527007748,5) My one source inside one of these networks has informed me that the FCC has arrived and has seized all kinds ofâ?¦ https://t.co/QlFCajkCW5,242,558,18,https://t.co/QlFCajkCW5
5,998969261837225985,Thread 1,1527007806,"6) The allegations are about violating press guidelines, apparently.",119,374,8,
6,998969661021618176,Thread 1,1527007901,"7) This includes, according to my source inside a certain fake news network, the printing of blatant lies, the publâ?¦ https://t.co/3Oor7pmQhk",139,419,6,https://t.co/3Oor7pmQhk
7,998969951498186752,Thread 1,1527007971,8) I am going to try to find independent confirmation of this. I'm just getting this news now and got permission frâ?¦ https://t.co/qRth6tSIud,99,355,5,https://t.co/qRth6tSIud
8,998970045526106112,Thread 1,1527007993,9) Until then.... https://t.co/RjRU3lHpqy,81,381,19,https://t.co/RjRU3lHpqy
9,998972414569697280,Thread 1,1527008558,"CONTINUED 10) Still working on finding any documented or independent verification on this, but here's what I've fouâ?¦ https://t.co/5o8OtV4s86",128,322,8,https://t.co/5o8OtV4s86
10,998972530928115712,Thread 1,1527008586,"11) 'Broadcasters may not intentionally distort the news. The FCC states that ""rigging or slanting the news is a moâ?¦ https://t.co/3WqDWZlC3B",207,518,9,https://t.co/3WqDWZlC3B
11,998972603661455361,Thread 1,1527008603,"12) 'The FCC may act only when it has received documented evidence, such as testimony from persons who have directâ?¦ https://t.co/pPSs4AlZl2",121,340,10,https://t.co/pPSs4AlZl2
12,998973228503764993,Thread 1,1527008752,"13) Assuming the news I received is true, it would appear that either there is a whistleblower, or the FCC may be aâ?¦ https://t.co/gSwBFAxjQe",177,421,21,https://t.co/gSwBFAxjQe
13,998974774083817472,Thread 1,1527009120,"14) Also happened today, this one documented: Pruitt kicked the AP and CNN out of an EPA conference. https://t.co/gFuAMMne1n",262,618,37,https://t.co/gFuAMMne1n
14,998985720080556034,Thread 1,1527011730,"15) Thanks Truth for linking this to me. https://t.co/kk04i24SU6

""Rounding out our June meeting will be an enforceâ?¦ https://t.co/nHipIf5zgN",75,210,5,"https://t.co/kk04i24SU6

""Rounding out our June meeting will be an enforceâ?¦ "
15,998985999022772225,Thread 1,1527011797,"16) June 7th. FUUUUUUCK.

https://t.co/r7QK1PQXfd",35,153,7,https://t.co/r7QK1PQXfd
16,998986062901972992,Thread 1,1527011812,17) I am still working to try to confirm this everyone!,36,222,19,
17,998995611650347008,Thread 1,1527014088,18) NOTE: I have NO IDEA if the FCC meeting has ANYTHING TO DO WITH THIS. Ajit Pai may be puffing up the meeting beâ?¦ https://t.co/sS5m7msvd5,47,251,19,https://t.co/sS5m7msvd5
18,998660806005768192,Thread 2,1526934265,"1/ I became ""CEO"" at 20. I dropped out of college. I had only interned somewhere prev. Looking back, I couldn't imaâ?¦ https://t.co/xXoEpEFtcS",2425,7312,91,https://t.co/xXoEpEFtcS
19,998660812330881024,Thread 2,1526934266,2/ Giving up control is hard &amp; it was the hardest for me. I felt like everything at the beginning was important. Yoâ?¦ https://t.co/a1Or8bQZam,155,806,3,https://t.co/a1Or8bQZam
20,998660819704463360,Thread 2,1526934268,3/ Your VCs won't want to offend you so I'll suggest it: get a CEO coach &amp; do a 360 review of yourself every few yeâ?¦ https://t.co/JYBR0N0anB,110,726,9,https://t.co/JYBR0N0anB
21,998660825429639168,Thread 2,1526934269,5/ Find a great mentor: Pick someone you want to impress. Find someone who will lift you up when you're down &amp; takeâ?¦ https://t.co/ThrMDVIwCW,108,573,5,https://t.co/ThrMDVIwCW
22,998660823110184960,Thread 2,1526934269,"4/ Over time, you will feel like all youâ??re doing is spending time in meetings but not getting any real work done.â?¦ https://t.co/qnPhj3Ehim",97,612,4,https://t.co/qnPhj3Ehim
23,998660828592156672,Thread 2,1526934270,6/ Live by the mantra: â??you should be building a team that can fulfill the mission without you.â?? You will be less sâ?¦ https://t.co/42ogUutaA3,136,735,3,https://t.co/42ogUutaA3
24,998660834237726720,Thread 2,1526934271,"8/ Don't avoid confrontation with tough, critical decisions--deal with it head-on. Avoiding confrontation, builds râ?¦ https://t.co/c0P0rN2XbZ",121,574,4,https://t.co/c0P0rN2XbZ
25,998660831360397314,Thread 2,1526934271,7/ Power = responsibility. Being CEO will become lonely as you can't be as vulnerable &amp; authentic as you'd like. Fiâ?¦ https://t.co/ala3aHRVQq,94,517,2,https://t.co/ala3aHRVQq
26,998660837513428992,Thread 2,1526934272,9/ You will royally screw it up with people in your company even if it wasn't your decision. They may even dislikeâ?¦ https://t.co/XrZX3TEpo9,79,415,1,https://t.co/XrZX3TEpo9
27,998660840688533510,Thread 2,1526934273,"10/ Your job will become 90% listening, 10% talking. I was bad at this &amp; had to work 2x as hard at not interruptingâ?¦ https://t.co/l6mMj5las4",126,739,1,https://t.co/l6mMj5las4
28,998660844006260736,Thread 2,1526934274,11/ Your intuition about customers/the market will get worse as the organization grows &amp; you become further estrangâ?¦ https://t.co/6KqYyZ454b,74,474,3,https://t.co/6KqYyZ454b
29,998660846770245633,Thread 2,1526934274,12/ Discovering the truth becomes hard as you grow. It also becomes the most important thing you can do as you guidâ?¦ https://t.co/OkNqvjRWVt,61,345,1,https://t.co/OkNqvjRWVt
