,id,thread_number,timestamp,text,retweets,likes,replies,url
0,978874480968728576,Thread 1,1522216837,(1) @DeadofKnight68 asks a question. https://t.co/IBkNFfm0ju,402,620,33,https://t.co/IBkNFfm0ju
1,978875352654188546,Thread 1,1522217045,"(2) In North Korea, the Kim family and the Korean People's Army (KPA) are holding each other hostage.

The KPA is t https://t.co/gj1Ka9T2pI",90,239,3,https://t.co/gj1Ka9T2pI
2,978875693722456064,Thread 1,1522217126,"(3) The KPA needs a central figure who serves as the face of the nation.

So the Kim family has had to PROVE to the https://t.co/AR9ISMwuX8",59,216,2,https://t.co/AR9ISMwuX8
3,978876717287772161,Thread 1,1522217370,"(4) KPA generals live in palaces.

Some of them are bigger than the Mall of the Americas. https://t.co/RCWxFtWy9S",70,224,3,https://t.co/RCWxFtWy9S
4,978876925161672705,Thread 1,1522217420,"(5) The Kim family and the KPA are twin mafias.

They extort the world and have done so since 1953.",85,238,2,
5,978877173359693830,Thread 1,1522217479,(6) So what HAPPENED FIRST is that Donald Trump used North Korean rhetoric in response to threats from North Korea. https://t.co/SqiQItG2Jm,105,362,5,https://t.co/SqiQItG2Jm
6,978877398015004673,Thread 1,1522217533,(7) Although it was reported that the North Koreans were asking for advice from former American government official https://t.co/u7C61xuH1M,55,244,1,https://t.co/u7C61xuH1M
7,978877510854365186,Thread 1,1522217559,"(8) In the PAST, we set conditions for talks.

A giant waste of time.",53,236,2,
8,978878223168737280,Thread 1,1522217729,"(9) Twice in 2017, the USS Jimmy Carter returned home flying the Jolly Roger.

This signifies a successful combat m https://t.co/fpjAPKHVcg",105,358,5,https://t.co/fpjAPKHVcg
9,978878448776175616,Thread 1,1522217783,(10) The submarine was modified to insert special-operation forces.,62,227,3,
10,978878764930228225,Thread 1,1522217858,"(11) ""Tunnel collapses"" killed the entire North Korean nuclear-weapons staff.

https://t.co/hNffALGYL9",140,376,10,https://t.co/hNffALGYL9
11,978879010372509696,Thread 1,1522217917,"(12) Between January of 2016 and October of 2017, a total of 28 Hamas and Islamic Jihad attack tunnel were destroyed.

IN GAZA.",84,306,1,
12,978879436450861056,Thread 1,1522218019,"(13) The attack tunnels are state secrets. Only one or two people two the locations of them all.

Each tunnel is bu https://t.co/M0vj2dpX3m",70,265,3,https://t.co/M0vj2dpX3m
13,978879718270406656,Thread 1,1522218086,"(14) So somebody infiltrated Gaza, located the tunnel, killed the nokhna, blew up the tunnel, and escaped.

And they did it 28 times.",86,318,5,
14,978880518732353536,Thread 1,1522218277,"(15) Hezbollah's main South American financier and weapons smuggler was Jorge Rafaat Toumani, a Syrian-Brazilian. https://t.co/O47VYBHZQs",69,213,3,https://t.co/O47VYBHZQs
15,978881246506962944,Thread 1,1522218450,"(16) He was protected by the governments, armed forces, and police of Brazil, Paraguay, and Argentina.

Rafaat Toum https://t.co/hKWV2vVWlc",61,196,2,https://t.co/hKWV2vVWlc
16,978881477386625026,Thread 1,1522218505,"(17) Rafaat Toumani was considered untouchable.

Well, not so much.

https://t.co/QkzYxrI890",62,220,5,https://t.co/QkzYxrI890
17,978881822049357825,Thread 1,1522218587,"(18) He had 47 bodyguards in eight vehicles. He was driving his own SUV.

SOMEONE put nine .50 caliber bullets into https://t.co/BAM3E4lOKX",74,280,11,https://t.co/BAM3E4lOKX
18,978882374682529794,Thread 1,1522218719,(19) The official story is that the gunmen were in THIS car IN FRONT of Rafaat Toumani. https://t.co/al1mGpR3vv,51,190,3,https://t.co/al1mGpR3vv
19,978882858415742976,Thread 1,1522218834,"(20) No.

Look at the white pillar. https://t.co/Oo0dw7GyVZ",52,184,1,https://t.co/Oo0dw7GyVZ
20,978883242244886528,Thread 1,1522218926,(21) And the back of his SUV. https://t.co/qXRpgMs45j,52,193,6,https://t.co/qXRpgMs45j
21,978883717870637057,Thread 1,1522219039,"(22) The ambush lasted exactly 30 seconds.

It was commandos. No doubt.

Probably 15 men who infiltrated Paraguay, https://t.co/zJNk17eTC3",68,240,4,https://t.co/zJNk17eTC3
22,978884115540992001,Thread 1,1522219134,"(23) THOSE are the guys that the Jimmy Carter dropped off in North Korea.

They directed THIS.

https://t.co/fPgTTuW18L",82,267,11,https://t.co/fPgTTuW18L
23,978884557264117760,Thread 1,1522219239,"(24) The North Koreans had zero defenses.

The fear was that they'd open fire on Seoul with their 13,000 artillery https://t.co/O0CC0ICto8",52,199,1,https://t.co/O0CC0ICto8
24,978884862181552129,Thread 1,1522219312,"(25) And I mean hit by commandos.

They did it in Iraq, Syria, Yemen, Paraguay, Brazil, and Libya.

So I think they https://t.co/gPy2k5azGA",66,245,1,https://t.co/gPy2k5azGA
25,978885209818107905,Thread 1,1522219395,"(26) My father always said, ""Speak to people in a language they understand.""

The North Koreans understand only des https://t.co/M1seBBaqKU",90,325,4,https://t.co/M1seBBaqKU
26,978885534436282369,Thread 1,1522219472,"(27) It's one thing to send worm-infested soldiers out to die, but when silent men appear in your goddam PALACE and https://t.co/GUUvSTrkTm",98,372,5,https://t.co/GUUvSTrkTm
27,978885777387130880,Thread 1,1522219530,"(28) Trump wasn't kidding around when he said, ""This should've been taken care of a long time ago.""",95,396,5,
28,978886086415011842,Thread 1,1522219604,"(29) We have allies who specialize in going into the heart of Indian Country, killing evil bigwigs, and escaping. https://t.co/BVEe4JJZFq",82,307,11,https://t.co/BVEe4JJZFq
29,978886390661427201,Thread 1,1522219677,"(30) So Kim and the KPA are transitioning.

The Chinese will help.

They're afraid of our allies too...",133,505,42,
30,979068436608413696,Thread 2,1522263080,The Cambridge Analytica Whistleblower Had A Company That Met With Trumps Campaign Manager https://t.co/UaUCxtYL5a via @RMac18,105,147,6,https://t.co/UaUCxtYL5a via @RMac18
31,979071957265240064,Thread 2,1522263919,"GSR, Cambridge Analytica, and Wylie said they have since deleted the data...mmhmm.",11,40,2,
32,979071958221574144,Thread 2,1522263919,"Docs show:
spring 2015 Wylies startup pitched elections-related work to Lewandowski. 1 source, confirmed their aut https://t.co/vKdmbRU3tt",13,34,1,https://t.co/vKdmbRU3tt
33,979071955969114113,Thread 2,1522263919,"Eunoia Technologies, subsequently pitched Corey Lewandowski on microtargeting tools that could be deployed on behal https://t.co/laksT9yxqy",20,48,1,https://t.co/laksT9yxqy
34,979071959395983360,Thread 2,1522263920,"The docs / interviews w sources do not always cast Wylie in a flattering light, but they also do not call into ques https://t.co/x9X8HMLPpF",9,29,1,https://t.co/x9X8HMLPpF
35,979071962248024064,Thread 2,1522263920,"Early 2014, Wylie put together a presentation for https://t.co/LqyhCLqyLD. According to its pitch deck, it cld inge https://t.co/WZkBkah0WB",8,24,2,"https://t.co/LqyhCLqyLD. According to its pitch deck, it cld inge "
36,979071961245634561,Thread 2,1522263920,"He was very much trying to build this company and his vision was, I want to build SCL without [Cambridge Analytic https://t.co/qg4YbHZ4SN",6,22,1,https://t.co/qg4YbHZ4SN
37,979071960348053504,Thread 2,1522263920,"Late 2013
According to two people who knew Wylie at this time, the he had approached a number of colleagues about l https://t.co/Pq8yLr4uu1",8,29,1,https://t.co/Pq8yLr4uu1
38,979071963607044096,Thread 2,1522263921,"Winter 2014, Wylie was having conversations about his idea with Silicon Valley venture capitalists, including one w https://t.co/bnPUXkRi15",5,21,1,https://t.co/bnPUXkRi15
39,979071965423132672,Thread 2,1522263921,"After leaving Cambridge Analytica and SCL in late June of 2014, Wylie pivoted his focus to Eunoia  Greek for beau https://t.co/qaZpXSPVAb",5,19,1,https://t.co/qaZpXSPVAb
40,979071966480084992,Thread 2,1522263921,"Aug 2014, he was working at Eunoia with Tobias Kloepper, a one time SCL data scientist, who would obtain Facebook d https://t.co/ZPkoCHjpl1",11,24,1,https://t.co/ZPkoCHjpl1
41,979074749438595078,Thread 2,1522264585,"Sept2014 Wylie claimed to have meetings w Monsanto, the American Petroleum Institute, and Ford. A Eunoia fashion-fo https://t.co/xQtSVZcImG",12,23,1,https://t.co/xQtSVZcImG
42,979074750432636929,Thread 2,1522264585,...while a separate company brochure specifically discusses targeting voters for potential political clients. Neith https://t.co/W3zRMkRh7L,5,18,1,https://t.co/W3zRMkRh7L
43,979075104138252290,Thread 2,1522264669,"In Brochure: The heart of our work stems from a rigorous scientific understanding of human behavior, which in turn https://t.co/kq0oQog64p",5,15,1,https://t.co/kq0oQog64p
44,979075105165856768,Thread 2,1522264670,"""...to do this, we have developed a series of algorithms that can predict the personality traits of individual vote https://t.co/3Z2PYKucMG",6,17,1,https://t.co/3Z2PYKucMG
45,979075777819021312,Thread 2,1522264830,"According to 1 person, GSR gave data to Eunoia after Kogan negotiated an agreement where Eunoia wld get the info FR https://t.co/GaUJzXVTA7",7,19,1,https://t.co/GaUJzXVTA7
46,979075778930528256,Thread 2,1522264830,Eunoia appears to never have officially launched; a separate source told BuzzFeed News that it was unable to secure funding.,6,17,1,
47,979082297692622848,Thread 2,1522266384,The spread of the Facebook data was not confined to CambridgeAnalytica. Wylie may have had access to the data set f https://t.co/L7I0XP7cC8,6,16,1,https://t.co/L7I0XP7cC8
48,979082299370344448,Thread 2,1522266385,"GSR was told to delete its data in December 2015, according to a source, while Wylie said in testimony in front a p https://t.co/kEvtZFSEVR",4,13,1,https://t.co/kEvtZFSEVR
49,979082302436278272,Thread 2,1522266386,"Asked last week if Eunoia had used any data sets on Facebook users, Wylies lawyer, Allen, was adamant. Eunoia was https://t.co/tzJjbEO6kR",4,11,1,https://t.co/tzJjbEO6kR
50,979082304990732288,Thread 2,1522266386,"Wylie didnt say Eunoia met w Lewandowski.

Lewandowski met with reps, including Tadas Jucikas, fmr SCL employee &amp;M https://t.co/4LW1qR6Of3",6,19,1,https://t.co/4LW1qR6Of3
51,979082307121315840,Thread 2,1522266387,"Lewandowski met w Eunoia, in part, because the Nix operation was already working for Cruzs presidential election t https://t.co/XIfzobCgAu",5,18,1,https://t.co/XIfzobCgAu
52,979088307777888256,Thread 2,1522267817,"Emails further corroborate the pitch to the Trump campaign. 

April 2015 following the mting w Lewandowski, Gettles https://t.co/QGy6C6iQM8",6,15,1,https://t.co/QGy6C6iQM8
53,979088309329760258,Thread 2,1522267818,"Trump-Handout, contained a list of various political microtargeting products and services offered by eunoia.",5,12,1,
54,979088312588820488,Thread 2,1522267818,"Alfredas Chmieliauskas, a London-based employee of Palantir, said he had no idea why his name was on Eunoias bus https://t.co/a34raubf1S",4,15,1,https://t.co/a34raubf1S
55,979088311150108672,Thread 2,1522267818,"Docs which included business contracts and pitch decks, reveal other individuals who, to varying degrees, were asso https://t.co/foisXyXuWk",3,13,1,https://t.co/foisXyXuWk
56,979088310168641536,Thread 2,1522267818,The graphic designer made adjustments to the doc and placed its contents on official Eunoia stationary before sendi https://t.co/UVPtXp25Y8,3,10,1,https://t.co/UVPtXp25Y8
